건물명,대지위치,운동시설,교육_학습시설,키즈시설,시니어시설,공유오피스_회의,라운지_휴게,사우나_목욕,편의_생활시설,구,동,총인구수,ratio_child,ratio_elderly,ratio_young,ratio_middle,전체세대,ratio_1person,ratio_2person,ratio_3plus,카페수,헬스장수,학원수,기타학원수,독서실수,사우나수
강남 효성해링턴 코트,서울특별시 강남구 세곡동 541번지,0,0,1,0,0,0,0,0,강남구,세곡동,14022.0,0.0666096134645557,0.2603052346312937,0.1079018684923691,0.2936813578662102,5506.0,0.2559026516527424,0.2798764983654195,0.464220849981838,43.0,17.0,65.0,74.0,9.0,3.0
강남데시앙포레,서울특별시 강남구 수서동 블록,0,0,0,0,0,0,0,0,강남구,수서동,21165.0,0.0504606661941885,0.3829435388613276,0.0791400897708481,0.2819277108433735,10599.0,0.45306160958581,0.2659684875931691,0.2809699028210208,32.0,11.0,6.0,25.0,1.0,5.0
강남센트럴아이파크,서울특별시 강남구 역삼동 712-3번지,1,1,1,1,0,0,1,0,강남구,역삼동,68953.0,0.0400417675808159,0.152857743680478,0.1558742911838498,0.4017664206053398,39460.0,0.6150532184490624,0.1444247339077546,0.2405220476431829,570.0,261.0,197.0,631.0,40.0,54.0
강남한양수자인,서울특별시 강남구 율현동 블록,1,1,1,1,1,0,1,0,강남구,율현동,3642.0,0.0796265788028555,0.2506864360241626,0.1026908292147171,0.3336079077429983,1669.0,0.3547034152186938,0.2600359496704613,0.3852606351108448,270.4,128.9,365.7,351.1,44.6,29.3
강북3 재정비촉진구역 재개발 정비사업,서울특별시 강북구 미아동 45-32번지,0,0,1,0,0,0,0,0,강북구,미아동,125075.0,0.0431980811513092,0.3171137317609434,0.1251569058564861,0.2609874075554667,60812.0,0.4423469052160758,0.2408241794382687,0.3168289153456554,38.0,16.0,19.0,30.0,4.0,6.0
강북구 번동 모아주택 1구역 가로주택정비사업 신축공사,서울특별시 강북구 번동 429-114번지,1,0,1,1,0,0,1,0,강북구,번동,46521.0,0.0311902151716429,0.3689086649040218,0.1267599578684895,0.2472861718363749,24702.0,0.4919439721480042,0.2597765363128491,0.2482794915391466,58.2,28.9,25.7,47.4,5.4,10.0
강북구 번동 모아주택 2구역 가로주택정비사업 신축공사,서울특별시 강북구 번동 429-97번지,1,0,1,1,0,0,1,0,강북구,번동,46521.0,0.0311902151716429,0.3689086649040218,0.1267599578684895,0.2472861718363749,24702.0,0.4919439721480042,0.2597765363128491,0.2482794915391466,58.2,28.9,25.7,47.4,5.4,10.0
강북구 번동 모아주택 3구역 가로주택정비사업 신축공사,서울특별시 강북구 번동 430-27번지,1,0,1,1,1,1,1,0,강북구,번동,46521.0,0.0311902151716429,0.3689086649040218,0.1267599578684895,0.2472861718363749,24702.0,0.4919439721480042,0.2597765363128491,0.2482794915391466,58.2,28.9,25.7,47.4,5.4,10.0
강북구 번동 모아주택 4구역 가로주택정비사업 신축공사	,서울특별시 강북구 번동 428-4번지,1,1,1,1,0,1,1,0,강북구,번동,46521.0,0.0311902151716429,0.3689086649040218,0.1267599578684895,0.2472861718363749,24702.0,0.4919439721480042,0.2597765363128491,0.2482794915391466,58.2,28.9,25.7,47.4,5.4,10.0
강북구 번동 모아주택 5구역 가로주택정비사업 신축공사,서울특별시 강북구 번동 427-63번지,1,1,1,1,1,1,1,0,강북구,번동,46521.0,0.0311902151716429,0.3689086649040218,0.1267599578684895,0.2472861718363749,24702.0,0.4919439721480042,0.2597765363128491,0.2482794915391466,58.2,28.9,25.7,47.4,5.4,10.0
강북구 수유동 역세권 청년주택,서울특별시 강북구 수유동 47-52번지,0,1,0,0,0,0,0,1,강북구,수유동,99364.0,0.0335433356145082,0.3479731089730687,0.1337204621392053,0.2554949478684433,52248.0,0.4934351554126474,0.2462677997243913,0.2602970448629612,123.0,70.0,47.0,103.0,10.0,23.0
