건물명,대지위치,운동시설,교육_학습시설,키즈시설,시니어시설,공유오피스_회의,라운지_휴게,사우나_목욕,편의_생활시설,구,동,총인구수,ratio_child,ratio_elderly,ratio_young,ratio_middle,전체세대,ratio_1person,ratio_2person,ratio_3plus
개포 럭키아파트,서울특별시 강남구 도곡동 462번지,1,0,1,1,0,0,1,1,강남구,도곡동,52224.0,0.07079120710784313,0.22581571691176472,0.10948988970588236,0.2923751531862745,19655.0,0.24268633935385397,0.2093614856270669,0.5479521750190791
개포자이 프레지던스,서울특별시 강남구 개포동 189번지,1,1,1,1,0,1,1,0,강남구,개포동,89148.0,0.07478574954009064,0.24489612778749945,0.10421994884910486,0.30978821734643514,35453.0,0.26660649310354556,0.24415423236397485,0.4892392745324796
개포주공3단지주택재건축정비사업,서울특별시 강남구 개포동 138번지,0,0,1,0,0,0,0,0,강남구,개포동,89148.0,0.07478574954009064,0.24489612778749945,0.10421994884910486,0.30978821734643514,35453.0,0.26660649310354556,0.24415423236397485,0.4892392745324796
거여12-1 행복주택,서울특별시 송파구 거여동 12-1번지,0,0,1,0,0,0,0,0,송파구,거여동,52332.0,0.09084307880455553,0.2402736375449056,0.10891997248337537,0.30614155774669416,21322.0,0.3127286370884532,0.23811087140043147,0.44916049151111526
거여동 26-1번지 아파트,서울특별시 송파구 거여동 26-1번지,0,1,1,0,0,0,0,0,송파구,거여동,52332.0,0.09084307880455553,0.2402736375449056,0.10891997248337537,0.30614155774669416,21322.0,0.3127286370884532,0.23811087140043147,0.44916049151111526
거여리본타운,서울특별시 송파구 거여동 12-1번지,0,0,1,0,0,0,0,0,송파구,거여동,52332.0,0.09084307880455553,0.2402736375449056,0.10891997248337537,0.30614155774669416,21322.0,0.3127286370884532,0.23811087140043147,0.44916049151111526
건대입구역 역세권 청년주택,서울특별시 광진구 자양동 8-8번지,0,0,0,0,0,0,0,0,광진구,자양동,91114.0,0.04685339245341001,0.2736901025089448,0.14747459226902562,0.3048378953838049,44985.0,0.4590419028565077,0.22896521062576414,0.3119928865177281
경남 아너스빌,서울특별시 은평구 구산동 224번지,0,0,0,0,1,0,0,0,은평구,구산동,30869.0,0.03663869901843273,0.31455505523340566,0.1293530726618938,0.2590624898765752,13499.0,0.3692125342617972,0.26372323875842657,0.36706422697977625
경남아너스빌,서울특별시 구로구 구로동 122-1번지,0,0,1,1,0,0,0,0,구로구,구로동,111925.0,0.04392226937681483,0.28707616707616707,0.14357828903283448,0.31217333035514855,60012.0,0.523628607611811,0.2224721722322202,0.25389922015596883
경로당,서울특별시 강남구 개포동 12번지,0,0,0,1,0,0,0,0,강남구,개포동,89148.0,0.07478574954009064,0.24489612778749945,0.10421994884910486,0.30978821734643514,35453.0,0.26660649310354556,0.24415423236397485,0.4892392745324796
경희궁 롯데캐슬,서울특별시 종로구 무악동 46번지,0,0,1,1,0,0,0,0,종로구,무악동,7811.0,0.06375624119831008,0.27474075022404304,0.10139546792984253,0.2627064396364102,2986.0,0.23576691225720026,0.2555257870060281,0.5087073007367716
고척3구역 주택재개발 아파트,서울특별시 구로구 고척동 155-2번지,0,1,1,1,0,0,0,0,구로구,고척동,51714.0,0.05607765788761264,0.2939629500715474,0.11774374444057702,0.29199056348377617,23066.0,0.35337726523887975,0.2711783577560045,0.37544437700511574
고척동 산업인 아파트 주택 재건축 정비사업,서울특별시 구로구 고척동 57-9번지,0,1,1,1,0,0,0,0,구로구,고척동,51714.0,0.05607765788761264,0.2939629500715474,0.11774374444057702,0.29199056348377617,23066.0,0.35337726523887975,0.2711783577560045,0.37544437700511574
고척동 삼익아파트,서울특별시 구로구 고척동 238-5번지,0,0,0,0,1,0,0,0,구로구,고척동,51714.0,0.05607765788761264,0.2939629500715474,0.11774374444057702,0.29199056348377617,23066.0,0.35337726523887975,0.2711783577560045,0.37544437700511574
고척동 어르신안심주택,서울특별시 구로구 고척동 62-1번지,1,0,0,0,0,1,1,0,구로구,고척동,51714.0,0.05607765788761264,0.2939629500715474,0.11774374444057702,0.29199056348377617,23066.0,0.35337726523887975,0.2711783577560045,0.37544437700511574
고척아이파크,서울특별시 구로구 고척동 351번지,1,1,1,1,0,0,1,1,구로구,고척동,51714.0,0.05607765788761264,0.2939629500715474,0.11774374444057702,0.29199056348377617,23066.0,0.35337726523887975,0.2711783577560045,0.37544437700511574
골드타워,서울특별시 동작구 신대방동 351-5번지,0,0,0,0,0,0,0,0,동작구,신대방동,44701.0,0.05610612737970068,0.24701908234715106,0.1508243663452719,0.303505514418022,21108.0,0.4453761606973659,0.20935190449118818,0.3452719348114459
공덕 SK 리더스뷰,서울특별시 마포구 공덕동 385-65번지,0,1,1,1,0,0,0,0,마포구,공덕동,25223.0,0.06359275264639416,0.22550846449668954,0.13301351940689055,0.35416088490663283,12559.0,0.4657217931363962,0.21625925631021578,0.318018950553388
공덕1주택재건축,서울특별시 마포구 공덕동 105-84번지,1,1,1,1,0,1,1,0,마포구,공덕동,25223.0,0.06359275264639416,0.22550846449668954,0.13301351940689055,0.35416088490663283,12559.0,0.4657217931363962,0.21625925631021578,0.318018950553388
공덕자이,서울특별시 마포구 아현동 380번지,0,0,1,1,0,0,0,0,마포구,아현동,28131.0,0.08446198144395863,0.22949770715580675,0.12217837972343677,0.34552628772528526,12786.0,0.3768966056624433,0.24722352573126857,0.37587986860628814
공덕현대아파트 소규모재건축정비사업,서울특별시 마포구 공덕동 370-9번지,0,0,0,1,0,0,0,0,마포구,공덕동,25223.0,0.06359275264639416,0.22550846449668954,0.13301351940689055,0.35416088490663283,12559.0,0.4657217931363962,0.21625925631021578,0.318018950553388
공동주택 및 근린생활시설,서울특별시 동대문구 제기동 120-104번지,1,1,1,1,0,0,1,1,동대문구,제기동,22710.0,0.03126376045794804,0.3361074416556583,0.1906649053280493,0.24302069572875384,13086.0,0.5897906159254165,0.1986092006724744,0.21160018340210912
공동주택(아파트),서울특별시 서초구 잠원동 56-2번지,1,1,0,1,0,1,1,1,서초구,잠원동,50209.0,0.06952936724491625,0.20199565814893744,0.11583580632954252,0.2963014598976279,18907.0,0.24869096101972815,0.19886814407362352,0.5524408949066484
공릉1(태릉현대)주택재건축정비사업,서울특별시 노원구 공릉동 230번지,0,0,0,0,0,0,0,0,노원구,공릉동,76533.0,0.05267009002652451,0.25396887617106345,0.17559745469274693,0.279722472658853,36602.0,0.44989344844544016,0.21168242172558877,0.3384241298289711
공릉동 대명아파트,서울특별시 노원구 공릉동 270-71번지,0,0,1,1,0,0,0,0,노원구,공릉동,76533.0,0.05267009002652451,0.25396887617106345,0.17559745469274693,0.279722472658853,36602.0,0.44989344844544016,0.21168242172558877,0.3384241298289711
공릉삼익2차아파트,서울특별시 노원구 공릉동 754번지,0,0,0,0,1,0,0,0,노원구,공릉동,76533.0,0.05267009002652451,0.25396887617106345,0.17559745469274693,0.279722472658853,36602.0,0.44989344844544016,0.21168242172558877,0.3384241298289711
공릉아파트,서울특별시 노원구 공릉동 708번지,0,0,0,0,0,0,0,0,노원구,공릉동,76533.0,0.05267009002652451,0.25396887617106345,0.17559745469274693,0.279722472658853,36602.0,0.44989344844544016,0.21168242172558877,0.3384241298289711
공항동 원룸형도시형생활주택,서울특별시 강서구 공항동 53-9번지,0,0,0,0,0,0,0,0,강서구,공항동,17168.0,0.03325955265610438,0.2910647716682199,0.15173578751164957,0.31715983224603916,9979.0,0.5808197214149714,0.2165547650065137,0.20262551357851488
관악 한일 유앤아이,서울특별시 관악구 봉천동 1727번지,0,0,1,0,0,0,0,0,관악구,봉천동,218346.0,0.03638720196385553,0.24119974719023934,0.22233061288047412,0.31205975836516353,127594.0,0.6105381130774175,0.1829474740191545,0.20651441290342806
관악드림타운,서울특별시 관악구 봉천동 산101번지,0,0,0,0,1,0,0,0,관악구,봉천동,218346.0,0.03638720196385553,0.24119974719023934,0.22233061288047412,0.31205975836516353,127594.0,0.6105381130774175,0.1829474740191545,0.20651441290342806
관악파크 푸르지오,서울특별시 관악구 봉천동 100-2번지,0,1,1,1,0,0,0,0,관악구,봉천동,218346.0,0.03638720196385553,0.24119974719023934,0.22233061288047412,0.31205975836516353,127594.0,0.6105381130774175,0.1829474740191545,0.20651441290342806
