건물명,대지위치,운동시설,교육_학습시설,키즈시설,시니어시설,공유오피스_회의,라운지_휴게,사우나_목욕,편의_생활시설,기타미분류
북한산 두산위브 2차,서울특별시 서대문구 홍은동 13-25번지,0,0,1,1,0,0,0,0,1
북한산 래미안,서울특별시 은평구 불광동 1-200번지,1,0,1,1,0,1,1,0,1
북한산 코오롱 하늘채,서울특별시 도봉구 쌍문동 414번지,0,0,1,1,0,1,0,0,1
북한산 힐스테이트 7차,서울특별시 은평구 불광동 292번지,1,0,1,1,0,0,1,0,1
북한산힐스테이트1차아파트,서울특별시 은평구 불광동 635번지,0,0,0,0,1,0,0,0,0
"분양(101동~110동,201동):래미안 라센트",서울특별시 성북구 종암동 100-56번지,0,0,1,1,0,0,0,0,1
불광 롯데캐슬,서울특별시 은평구 불광동 550-1번지,0,1,1,1,0,1,0,0,1
불광제5 주택재개발 정비사업,서울특별시 은평구 불광동 238번지,0,0,0,1,1,0,0,0,0
브라운스톤 당산,서울특별시 영등포구 당산동4가 98번지,0,0,0,1,0,0,0,0,1
브라운스톤 상도,서울특별시 동작구 상도동 527번지,0,0,0,0,1,0,0,0,0
브라운스톤 태릉 아파트,서울특별시 중랑구 묵동 387번지,0,0,0,0,1,0,0,0,0
브라이튼 N40,서울특별시 강남구 논현동 40번지,0,0,0,0,0,0,0,0,1
브라이튼 여의도,서울특별시 영등포구 여의도동 31번지,1,1,1,1,0,0,1,0,0
비스타동원,서울특별시 영등포구 신길동 3608번지,1,0,1,0,0,0,1,0,0
사근동 도시형생활주택,서울특별시 성동구 사근동 289-2번지,0,0,0,0,1,0,0,0,0
사당 롯데캐슬 골든포레,서울특별시 동작구 사당동 181번지,1,1,1,1,0,0,1,0,1
사당 영아재건축아파트,서울특별시 동작구 사당동 1131번지,0,0,0,0,1,0,0,0,0
사당 유니드,서울특별시 동작구 사당동 산11-4번지,0,0,1,1,1,0,0,0,0
사당 휴브리지 빌딩,서울특별시 동작구 사당동 206-127번지,0,0,0,0,0,0,0,0,1
사당3동 155-4번지 일원 공동주택,서울특별시 동작구 사당동 155-4번지,1,0,1,1,0,1,1,0,1
사당5주택재건축,서울특별시 동작구 사당동 303번지,1,1,1,1,0,1,1,1,1
사당남성역 두산위브 트레지움,서울특별시 동작구 사당동 1131번지,1,1,1,1,1,0,1,0,0
사당동 206-1번지 일원 가로주택정비사업,서울특별시 동작구 사당동 206-1번지,1,0,1,1,0,0,1,0,1
사당동 인정아파트 소규모재건축정비사업,서울특별시 동작구 사당동 196번지,0,0,0,0,0,0,0,0,1
사당삼익그린뷰아파트,서울특별시 동작구 사당동 1150번지,0,0,0,0,1,0,0,0,0
